atDate,settleDate,susp,closing,bid,ask,low,high,vol,turn,VWAP,adjClose,adjBid,adjAsk,adjLow,adjHigh,adjVol,adjVWAP,totalRet
2007-04-02,2007-04-04,0,0.64,0.64,0.65,0.63,0.64,688000,439820,0.63927326,6.21184,6.21184,6.3089,6.11478,6.21184,70884,6.20479,0
2007-03-30,2007-04-03,0,0.64,0.63,0.64,0.63,0.64,772000,490680,0.63559585,6.21184,6.11478,6.21184,6.11478,6.21184,79538,6.1691,0
2007-03-29,2007-04-02,0,0.64,0.63,0.65,0.63,0.65,214000,136860,0.63953271,6.21184,6.11478,6.3089,6.11478,6.3089,22048,6.20731,0.01587
2007-03-28,2007-03-30,0,0.63,0.63,0.64,0.62,0.63,356000,223980,0.6291573,6.11478,6.11478,6.21184,6.01772,6.11478,36678,6.1066,-0.01562
2007-03-27,2007-03-29,0,0.64,0.63,0.64,0.63,0.64,676000,431520,0.6383432,6.21184,6.11478,6.21184,6.11478,6.21184,69648,6.19576,0
2007-03-26,2007-03-28,0,0.64,0.63,0.64,0.63,0.65,428000,275140,0.64285047,6.21184,6.11478,6.21184,6.11478,6.3089,44096,6.23951,-0.01538
2007-03-23,2007-03-27,0,0.65,0.64,0.65,0.64,0.65,234000,152000,0.64957265,6.3089,6.21184,6.3089,6.21184,6.3089,24109,6.30475,0.01562
2007-03-22,2007-03-26,0,0.64,0.64,0.65,0.64,0.66,600000,385740,0.6429,6.21184,6.21184,6.3089,6.21184,6.40596,61817,6.23999,-0.0303
2007-03-21,2007-03-23,0,0.66,0.65,0.67,0.63,0.67,2306000,1494440,0.64806592,6.40596,6.3089,6.50302,6.11478,6.50302,237585,6.29013,0.04762
2007-03-20,2007-03-22,0,0.63,0.63,0.64,0.6,0.63,1384000,862520,0.62320809,6.11478,6.11478,6.21184,5.8236,6.11478,142592,6.04886,0.03279
2007-03-19,2007-03-21,0,0.61,0.61,0.62,0.59,0.62,594000,362000,0.60942761,5.92066,5.92066,6.01772,5.72654,6.01772,61199,5.91511,0.01667
2007-03-16,2007-03-20,0,0.6,0.6,0.61,0.58,0.61,1120000,672580,0.60051786,5.8236,5.8236,5.92066,5.62948,5.92066,115392,5.82863,0.03448
2007-03-15,2007-03-19,0,0.58,0.58,0.59,0.58,0.61,883620,526160,0.59545959,5.62948,5.62948,5.72654,5.62948,5.92066,91038,5.77953,-0.04918
2007-03-14,2007-03-16,0,0.61,0.6,0.61,0.59,0.61,370000,221240,0.59794595,5.92066,5.8236,5.92066,5.72654,5.92066,38121,5.80367,-0.01613
2007-03-13,2007-03-15,0,0.62,0.61,0.62,0.6,0.62,624000,380900,0.61041667,6.01772,5.92066,6.01772,5.8236,6.01772,64290,5.92471,-0.01587
2007-03-12,2007-03-14,0,0.63,0.62,0.63,0.61,0.63,530000,327740,0.61837736,6.11478,6.01772,6.11478,5.92066,6.11478,54605,6.00197,0
2007-03-09,2007-03-13,0,0.63,0.62,0.63,0.62,0.63,336000,208420,0.62029762,6.11478,6.01772,6.11478,6.01772,6.11478,34618,6.02061,0.01613
2007-03-08,2007-03-12,0,0.62,0.61,0.62,0.59,0.62,304000,184580,0.60717105,6.01772,5.92066,6.01772,5.72654,6.01772,31321,5.8932,0.03333
2007-03-07,2007-03-09,0,0.6,0.6,0.62,0.6,0.62,571277,349992,0.61264851,5.8236,5.8236,6.01772,5.8236,6.01772,58858,5.94637,-0.01639
